period;num_TraderImpl_EUR;num_CreditBankImpl_EUR;num_HouseholdImpl_EUR;num_CentralBankImpl_EUR;num_FactoryImpl_EUR;num_StateImpl_EUR;retiredHouseholds_EUR;num_TraderImpl_USD;num_CreditBankImpl_USD;num_HouseholdImpl_USD;num_CentralBankImpl_USD;num_FactoryImpl_USD;num_StateImpl_USD;retiredHouseholds_USD;num_TraderImpl_YEN;num_CreditBankImpl_YEN;num_HouseholdImpl_YEN;num_CentralBankImpl_YEN;num_FactoryImpl_YEN;num_StateImpl_YEN;retiredHouseholds_YEN
2001-02-04;10;5;2025;1;83;1;0;10;5;2030;1;83;1;0;10;5;2026;1;83;1;0
2001-02-11;10;5;2029;1;83;1;0;10;5;2035;1;83;1;0;10;5;2031;1;83;1;0
2001-02-18;10;5;2034;1;83;1;0;10;5;2037;1;83;1;0;10;5;2040;1;83;1;0
2001-02-25;10;5;2040;1;83;1;0;10;5;2043;1;83;1;0;10;5;2044;1;83;1;0
2001-03-04;10;5;2042;1;83;1;0;10;5;2047;1;83;1;0;10;5;2049;1;83;1;0
2001-03-11;10;5;2044;1;83;1;0;10;5;2051;1;83;1;0;10;5;2059;1;83;1;0
2001-03-18;10;5;2049;1;83;1;0;10;5;2059;1;83;1;0;10;5;2064;1;83;1;0
2001-03-25;10;5;2059;1;83;1;0;10;5;2060;1;83;1;0;10;5;2071;1;83;1;0
2001-04-01;10;5;2060;1;83;1;0;10;5;2067;1;83;1;0;10;5;2078;1;83;1;0
2001-04-08;10;5;2065;1;83;1;0;10;5;2073;1;83;1;0;10;5;2085;1;83;1;0
2001-04-15;10;5;2071;1;83;1;0;10;5;2078;1;83;1;0;10;5;2091;1;83;1;0
2001-04-22;10;5;2075;1;83;1;0;10;5;2084;1;83;1;0;10;5;2095;1;83;1;0
2001-04-29;10;5;2079;1;83;1;0;10;5;2092;1;83;1;0;10;5;2098;1;83;1;0
2001-05-06;10;5;2081;1;83;1;0;10;5;2099;1;83;1;0;10;5;2101;1;83;1;0
2001-05-13;10;5;2084;1;83;1;0;10;5;2106;1;83;1;0;10;5;2106;1;83;1;0
2001-05-20;10;5;2089;1;83;1;0;10;5;2114;1;83;1;0;10;5;2110;1;83;1;0
2001-05-27;10;5;2091;1;83;1;0;10;5;2118;1;83;1;0;10;5;2114;1;83;1;0
2001-06-03;10;5;2094;1;83;1;0;10;5;2121;1;83;1;0;10;5;2124;1;83;1;0
2001-06-10;10;5;2101;1;83;1;0;10;5;2128;1;83;1;0;10;5;2131;1;83;1;0
2001-06-17;10;5;2106;1;83;1;0;10;5;2132;1;83;1;0;10;5;2133;1;83;1;0
2001-06-24;10;5;2115;1;83;1;0;10;5;2135;1;83;1;0;10;5;2135;1;83;1;0
2001-07-01;10;5;1072;1;83;1;0;10;5;1075;1;83;1;0;10;5;1045;1;83;1;0
2001-07-08;10;5;1065;1;83;1;0;10;5;1073;1;83;1;0;10;5;1044;1;83;1;0
2001-07-15;10;5;1062;1;83;1;0;10;5;1073;1;83;1;0;10;5;1043;1;83;1;0
2001-07-22;10;5;1063;1;83;1;0;10;5;1068;1;83;1;0;10;5;1044;1;83;1;0
2001-07-29;10;5;1056;1;83;1;0;10;5;1067;1;83;1;0;10;5;1037;1;83;1;0
2001-08-05;10;5;1291;1;83;1;0;10;5;1064;1;83;1;0;10;5;1033;1;83;1;0
2001-08-12;10;5;1291;1;83;1;0;10;5;1059;1;83;1;0;10;5;1030;1;83;1;0
2001-08-19;10;5;1291;1;83;1;0;10;5;1058;1;83;1;0;10;5;1030;1;83;1;0
2001-08-26;10;5;1291;1;83;1;0;10;5;1057;1;83;1;0;10;5;1029;1;83;1;0
2001-09-02;10;5;1290;1;83;1;0;10;5;1055;1;83;1;0;10;5;1031;1;83;1;0
2001-09-09;10;5;1292;1;83;1;0;10;5;1056;1;83;1;0;10;5;1028;1;83;1;0
2001-09-16;10;5;1294;1;83;1;0;10;5;1057;1;83;1;0;10;5;1021;1;83;1;0
2001-09-23;10;5;1291;1;83;1;0;10;5;1056;1;83;1;0;10;5;1020;1;83;1;0
2001-09-30;10;5;1292;1;83;1;0;10;5;1055;1;83;1;0;10;5;1018;1;83;1;0
2001-10-07;10;5;1878;1;83;1;0;10;5;1053;1;83;1;0;10;5;1016;1;83;1;0
2001-10-14;10;5;1854;1;83;1;0;10;5;1053;1;83;1;0;10;5;1014;1;83;1;0
2001-10-21;10;5;1838;1;83;1;0;10;5;1050;1;83;1;0;10;5;1013;1;83;1;0
2001-10-28;10;5;1831;1;83;1;0;10;5;1048;1;83;1;0;10;5;1008;1;83;1;0
2001-11-04;10;5;1806;1;83;1;0;10;5;1042;1;83;1;0;10;5;1003;1;83;1;0
2001-11-11;10;5;1776;1;83;1;0;10;5;1036;1;83;1;0;10;5;1000;1;83;1;0
2001-11-18;10;5;1744;1;83;1;0;10;5;1034;1;83;1;0;10;5;999;1;83;1;0
2001-11-25;10;5;1719;1;83;1;0;10;5;1035;1;83;1;0;10;5;998;1;83;1;0
2001-12-02;10;5;1706;1;83;1;0;10;5;1030;1;83;1;0;10;5;996;1;83;1;0
2001-12-09;10;5;2079;1;83;1;0;10;5;1028;1;83;1;0;10;5;997;1;83;1;0
2001-12-16;10;5;1959;1;83;1;0;10;5;1029;1;83;1;0;10;5;996;1;83;1;0
2001-12-23;10;5;1851;1;83;1;0;10;5;1029;1;83;1;0;10;5;995;1;83;1;0
2001-12-30;10;5;1847;1;83;1;0;10;5;1027;1;83;1;0;10;5;995;1;83;1;0
2002-01-06;10;5;1849;1;83;1;0;10;5;1027;1;83;1;0;10;5;992;1;83;1;0
2002-01-13;10;5;1852;1;83;1;0;10;5;1027;1;83;1;0;10;5;990;1;83;1;0
2002-01-20;10;5;1853;1;83;1;0;10;5;1027;1;83;1;0;10;5;990;1;83;1;0
2002-01-27;10;5;1850;1;83;1;0;10;5;1028;1;83;1;0;10;5;992;1;83;1;0
2002-02-03;10;5;1847;1;83;1;0;10;5;1030;1;83;1;0;10;5;990;1;83;1;0
2002-02-10;10;5;1831;1;83;1;0;10;5;1029;1;83;1;0;10;5;990;1;83;1;0
2002-02-17;10;5;1831;1;83;1;0;10;5;1029;1;83;1;0;10;5;990;1;83;1;0
2002-02-24;10;5;1832;1;83;1;0;10;5;1031;1;83;1;0;10;5;991;1;83;1;0
2002-03-03;10;5;1833;1;83;1;0;10;5;1036;1;83;1;0;10;5;991;1;83;1;0
2002-03-10;10;5;1834;1;83;1;0;10;5;1036;1;83;1;0;10;5;992;1;83;1;0
2002-03-17;10;5;1834;1;83;1;0;10;5;1036;1;83;1;0;10;5;991;1;83;1;0
2002-03-24;10;5;1834;1;83;1;0;10;5;1040;1;83;1;0;10;5;993;1;83;1;0
2002-03-31;10;5;1834;1;83;1;0;10;5;1041;1;83;1;0;10;5;992;1;83;1;0
2002-04-07;10;5;2309;1;83;1;0;10;5;1040;1;83;1;0;10;5;994;1;83;1;0
2002-04-14;10;5;2309;1;83;1;0;10;5;1041;1;83;1;0;10;5;995;1;83;1;0
2002-04-21;10;5;2306;1;83;1;0;10;5;1041;1;83;1;0;10;5;995;1;83;1;0
2002-04-28;10;5;2294;1;83;1;0;10;5;1039;1;83;1;0;10;5;995;1;83;1;0
2002-05-05;10;5;2274;1;83;1;0;10;5;1040;1;83;1;0;10;5;994;1;83;1;0
2002-05-12;10;5;2261;1;83;1;0;10;5;1041;1;83;1;0;10;5;993;1;83;1;0
2002-05-19;10;5;2244;1;83;1;0;10;5;1043;1;83;1;0;10;5;994;1;83;1;0
2002-05-26;10;5;2224;1;83;1;0;10;5;1041;1;83;1;0;10;5;994;1;83;1;0
2002-06-02;10;5;2201;1;83;1;0;10;5;1040;1;83;1;0;10;5;995;1;83;1;0
2002-06-09;10;5;3286;1;83;1;0;10;5;1040;1;83;1;0;10;5;995;1;83;1;0
2002-06-16;10;5;3119;1;83;1;0;10;5;1036;1;83;1;0;10;5;995;1;83;1;0
2002-06-23;10;5;2902;1;83;1;0;10;5;1034;1;83;1;0;10;5;997;1;83;1;0
2002-06-30;10;5;2682;1;83;1;0;10;5;1033;1;83;1;0;10;5;997;1;83;1;0
2002-07-07;10;5;2491;1;83;1;0;10;5;1028;1;83;1;0;10;5;999;1;83;1;0
2002-07-14;10;5;2359;1;83;1;0;10;5;1021;1;83;1;0;10;5;1003;1;83;1;0
2002-07-21;10;5;2237;1;83;1;0;10;5;1019;1;83;1;0;10;5;1003;1;83;1;0
2002-07-28;10;5;2153;1;83;1;0;10;5;1019;1;83;1;0;10;5;1003;1;83;1;0
2002-08-04;10;5;3066;1;83;1;0;10;5;1023;1;83;1;0;10;5;1006;1;83;1;0
2002-08-11;10;5;2932;1;83;1;0;10;5;1024;1;83;1;0;10;5;1005;1;83;1;0
2002-08-18;10;5;2803;1;83;1;0;10;5;1024;1;83;1;0;10;5;1006;1;83;1;0
2002-08-25;10;5;2699;1;83;1;0;10;5;1025;1;83;1;0;10;5;1008;1;83;1;0
2002-09-01;10;5;2608;1;83;1;0;10;5;1028;1;83;1;0;10;5;1008;1;83;1;0
2002-09-08;10;5;2558;1;83;1;0;10;5;1028;1;83;1;0;10;5;1010;1;83;1;0
2002-09-15;10;5;2500;1;83;1;0;10;5;1030;1;83;1;0;10;5;1010;1;83;1;0
2002-09-22;10;5;2468;1;83;1;0;10;5;1029;1;83;1;0;10;5;1012;1;83;1;0
2002-09-29;10;5;2449;1;83;1;0;10;5;1028;1;83;1;0;10;5;1012;1;83;1;0
2002-10-06;10;5;2894;1;83;1;0;10;5;1031;1;83;1;0;10;5;1013;1;83;1;0
2002-10-13;10;5;2814;1;83;1;0;10;5;1031;1;83;1;0;10;5;1013;1;83;1;0
2002-10-20;10;5;2765;1;83;1;0;10;5;1034;1;83;1;0;10;5;1013;1;83;1;0
2002-10-27;10;5;2725;1;83;1;0;10;5;1035;1;83;1;0;10;5;1013;1;83;1;0
2002-11-03;10;5;2684;1;83;1;0;10;5;1036;1;83;1;0;10;5;1014;1;83;1;0
2002-11-10;10;5;2635;1;83;1;0;10;5;1037;1;83;1;0;10;5;1014;1;83;1;0
2002-11-17;10;5;2622;1;83;1;0;10;5;1040;1;83;1;0;10;5;1014;1;83;1;0
2002-11-24;10;5;2616;1;83;1;0;10;5;1041;1;83;1;0;10;5;1017;1;83;1;0
2002-12-01;10;5;2616;1;83;1;0;10;5;1040;1;83;1;0;10;5;1019;1;83;1;0
2002-12-08;10;5;2616;1;83;1;0;10;5;1041;1;83;1;0;10;5;1021;1;83;1;0
2002-12-15;10;5;2617;1;83;1;0;10;5;1040;1;83;1;0;10;5;1022;1;83;1;0
2002-12-22;10;5;2616;1;83;1;0;10;5;1040;1;83;1;0;10;5;1022;1;83;1;0
2002-12-29;10;5;2617;1;83;1;0;10;5;1041;1;83;1;0;10;5;1024;1;83;1;0
2003-01-05;10;5;2618;1;83;1;0;10;5;1042;1;83;1;0;10;5;1024;1;83;1;0
2003-01-12;10;5;2616;1;83;1;0;10;5;1042;1;83;1;0;10;5;1024;1;83;1;0
2003-01-19;10;5;2616;1;83;1;0;10;5;1043;1;83;1;0;10;5;1024;1;83;1;0
2003-01-26;10;5;2610;1;83;1;0;10;5;1044;1;83;1;0;10;5;1025;1;83;1;0
2003-02-02;10;5;2604;1;83;1;0;10;5;1047;1;83;1;0;10;5;1028;1;83;1;0
2003-02-09;10;5;2593;1;83;1;0;10;5;1048;1;83;1;0;10;5;1032;1;83;1;0
2003-02-16;10;5;2584;1;83;1;0;10;5;1049;1;83;1;0;10;5;1032;1;83;1;0
2003-02-23;10;5;2562;1;83;1;0;10;5;1050;1;83;1;0;10;5;1032;1;83;1;0
2003-03-02;10;5;2540;1;83;1;0;10;5;1050;1;83;1;0;10;5;1033;1;83;1;0
2003-03-09;10;5;2490;1;83;1;0;10;5;1050;1;83;1;0;10;5;1033;1;83;1;0
2003-03-16;10;5;2438;1;83;1;0;10;5;1053;1;83;1;0;10;5;1034;1;83;1;0
2003-03-23;10;5;2364;1;83;1;0;10;5;1049;1;83;1;0;10;5;1035;1;83;1;0
2003-03-30;10;5;2303;1;83;1;0;10;5;1051;1;83;1;0;10;5;1036;1;83;1;0
2003-04-06;10;5;3276;1;83;1;0;10;5;1052;1;83;1;0;10;5;1035;1;83;1;0
2003-04-13;10;5;3277;1;83;1;0;10;5;1052;1;83;1;0;10;5;1036;1;83;1;0
2003-04-20;10;5;3277;1;83;1;0;10;5;1057;1;83;1;0;10;5;1036;1;83;1;0
2003-04-27;10;5;3241;1;83;1;0;10;5;1057;1;83;1;0;10;5;1037;1;83;1;0
2003-05-04;10;5;3171;1;83;1;0;10;5;1059;1;83;1;0;10;5;1038;1;83;1;0
2003-05-11;10;5;3131;1;83;1;0;10;5;1059;1;83;1;0;10;5;1038;1;83;1;0
2003-05-18;10;5;3130;1;83;1;0;10;5;1061;1;83;1;0;10;5;1038;1;83;1;0
2003-05-25;10;5;3133;1;83;1;0;10;5;1061;1;83;1;0;10;5;1038;1;83;1;0
2003-06-01;10;5;3133;1;83;1;0;10;5;1063;1;83;1;0;10;5;1038;1;83;1;0
2003-06-08;10;5;4373;1;83;1;0;10;5;1065;1;83;1;0;10;5;1038;1;83;1;0
2003-06-15;10;5;4363;1;83;1;0;10;5;1065;1;83;1;0;10;5;1040;1;83;1;0
2003-06-22;10;5;4327;1;83;1;0;10;5;1065;1;83;1;0;10;5;1042;1;83;1;0
2003-06-29;10;5;4252;1;83;1;0;10;5;1064;1;83;1;0;10;5;1042;1;83;1;0
2003-07-06;10;5;4170;1;83;1;0;10;5;1066;1;83;1;0;10;5;1044;1;83;1;0
2003-07-13;10;5;4071;1;83;1;0;10;5;1067;1;83;1;0;10;5;1043;1;83;1;0
2003-07-20;10;5;3999;1;83;1;0;10;5;1065;1;83;1;0;10;5;1044;1;83;1;0
2003-07-27;10;5;3873;1;83;1;0;10;5;1065;1;83;1;0;10;5;1044;1;83;1;0
2003-08-03;10;5;3865;1;83;1;0;10;5;1064;1;83;1;0;10;5;1045;1;83;1;0
2003-08-10;10;5;3768;1;83;1;0;10;5;1067;1;83;1;0;10;5;1045;1;83;1;0
2003-08-17;10;5;3686;1;83;1;0;10;5;1066;1;83;1;0;10;5;1047;1;83;1;0
2003-08-24;10;5;3615;1;83;1;0;10;5;1066;1;83;1;0;10;5;1047;1;83;1;0
2003-08-31;10;5;3564;1;83;1;0;10;5;1064;1;83;1;0;10;5;1048;1;83;1;0
2003-09-07;10;5;3547;1;83;1;0;10;5;1064;1;83;1;0;10;5;1051;1;83;1;0
2003-09-14;10;5;3520;1;83;1;0;10;5;1066;1;83;1;0;10;5;1053;1;83;1;0
2003-09-21;10;5;3510;1;83;1;0;10;5;1066;1;83;1;0;10;5;1053;1;83;1;0
2003-09-28;10;5;3498;1;83;1;0;10;5;1067;1;83;1;0;10;5;1055;1;83;1;0
2003-10-05;10;5;3735;1;83;1;0;10;5;1069;1;83;1;0;10;5;1054;1;83;1;0
2003-10-12;10;5;3731;1;83;1;0;10;5;1070;1;83;1;0;10;5;1056;1;83;1;0
2003-10-19;10;5;3721;1;83;1;0;10;5;1073;1;83;1;0;10;5;1059;1;83;1;0
2003-10-26;10;5;3712;1;83;1;0;10;5;1075;1;83;1;0;10;5;1059;1;83;1;0
2003-11-02;10;5;3699;1;83;1;0;10;5;1075;1;83;1;0;10;5;1059;1;83;1;0
2003-11-09;10;5;3674;1;83;1;0;10;5;1074;1;83;1;0;10;5;1059;1;83;1;0
2003-11-16;10;5;3651;1;83;1;0;10;5;1075;1;83;1;0;10;5;1060;1;83;1;0
2003-11-23;10;5;3621;1;83;1;0;10;5;1073;1;83;1;0;10;5;1060;1;83;1;0
2003-11-30;10;5;3598;1;83;1;0;10;5;1072;1;83;1;0;10;5;1062;1;83;1;0
2003-12-07;10;5;3937;1;83;1;0;10;5;1073;1;83;1;0;10;5;1061;1;83;1;0
2003-12-14;10;5;3869;1;83;1;0;10;5;1074;1;83;1;0;10;5;1061;1;83;1;0
2003-12-21;10;5;3782;1;83;1;0;10;5;1075;1;83;1;0;10;5;1062;1;83;1;0
2003-12-28;10;5;3648;1;83;1;0;10;5;1074;1;83;1;0;10;5;1063;1;83;1;0
2004-01-04;10;5;3469;1;83;1;0;10;5;1075;1;83;1;0;10;5;1063;1;83;1;0
2004-01-11;10;5;3288;1;83;1;0;10;5;1076;1;83;1;0;10;5;1063;1;83;1;0
2004-01-18;10;5;3078;1;83;1;0;10;5;1078;1;83;1;0;10;5;1062;1;83;1;0
2004-01-25;10;5;2898;1;83;1;0;10;5;1078;1;83;1;0;10;5;1064;1;83;1;0
2004-02-01;10;5;2774;1;83;1;0;10;5;1080;1;83;1;0;10;5;1064;1;83;1;0
2004-02-08;10;5;2680;1;83;1;0;10;5;1078;1;83;1;0;10;5;1062;1;83;1;0
2004-02-15;10;5;2577;1;83;1;0;10;5;1078;1;83;1;0;10;5;1060;1;83;1;0
2004-02-22;10;5;2516;1;83;1;0;10;5;1078;1;83;1;0;10;5;1061;1;83;1;0
2004-02-29;10;5;2436;1;83;1;0;10;5;1078;1;83;1;0;10;5;1060;1;83;1;0
2004-03-07;10;5;2346;1;83;1;0;10;5;1076;1;83;1;0;10;5;1058;1;83;1;0
2004-03-14;10;5;2293;1;83;1;0;10;5;1077;1;83;1;0;10;5;1059;1;83;1;0
2004-03-21;10;5;2269;1;83;1;0;10;5;1076;1;83;1;0;10;5;1059;1;83;1;0
2004-03-28;10;5;2236;1;83;1;0;10;5;1079;1;83;1;0;10;5;1059;1;83;1;0
