period;num_TraderImpl_EUR;num_CreditBankImpl_EUR;num_HouseholdImpl_EUR;num_CentralBankImpl_EUR;num_FactoryImpl_EUR;num_StateImpl_EUR;retiredHouseholds_EUR;num_TraderImpl_USD;num_CreditBankImpl_USD;num_HouseholdImpl_USD;num_CentralBankImpl_USD;num_FactoryImpl_USD;num_StateImpl_USD;retiredHouseholds_USD;num_TraderImpl_YEN;num_CreditBankImpl_YEN;num_HouseholdImpl_YEN;num_CentralBankImpl_YEN;num_FactoryImpl_YEN;num_StateImpl_YEN;retiredHouseholds_YEN
2001-02-04;10;5;2025;1;83;1;0;10;5;2030;1;83;1;0;10;5;2026;1;83;1;0
2001-02-11;10;5;2029;1;83;1;0;10;5;2035;1;83;1;0;10;5;2031;1;83;1;0
2001-02-18;10;5;2034;1;83;1;0;10;5;2037;1;83;1;0;10;5;2040;1;83;1;0
2001-02-25;10;5;2040;1;83;1;0;10;5;2043;1;83;1;0;10;5;2044;1;83;1;0
2001-03-04;10;5;2042;1;83;1;0;10;5;2047;1;83;1;0;10;5;2049;1;83;1;0
2001-03-11;10;5;2044;1;83;1;0;10;5;2051;1;83;1;0;10;5;2059;1;83;1;0
2001-03-18;10;5;2049;1;83;1;0;10;5;2059;1;83;1;0;10;5;2064;1;83;1;0
2001-03-25;10;5;2059;1;83;1;0;10;5;2060;1;83;1;0;10;5;2071;1;83;1;0
2001-04-01;10;5;2060;1;83;1;0;10;5;2067;1;83;1;0;10;5;2078;1;83;1;0
2001-04-08;10;5;3065;1;83;1;0;10;5;2573;1;83;1;0;10;5;2585;1;83;1;0
2001-04-15;10;5;3071;1;83;1;0;10;5;2578;1;83;1;0;10;5;2591;1;83;1;0
2001-04-22;10;5;3075;1;83;1;0;10;5;2584;1;83;1;0;10;5;2595;1;83;1;0
2001-04-29;10;5;3079;1;83;1;0;10;5;2592;1;83;1;0;10;5;2598;1;83;1;0
2001-05-06;10;5;3081;1;83;1;0;10;5;2599;1;83;1;0;10;5;2601;1;83;1;0
2001-05-13;10;5;3084;1;83;1;0;10;5;2606;1;83;1;0;10;5;2606;1;83;1;0
2001-05-20;10;5;3089;1;83;1;0;10;5;2614;1;83;1;0;10;5;2610;1;83;1;0
2001-05-27;10;5;3091;1;83;1;0;10;5;2618;1;83;1;0;10;5;2614;1;83;1;0
2001-06-03;10;5;3594;1;83;1;0;10;5;2621;1;83;1;0;10;5;2624;1;83;1;0
2001-06-10;10;5;3601;1;83;1;0;10;5;2628;1;83;1;0;10;5;2631;1;83;1;0
2001-06-17;10;5;3606;1;83;1;0;10;5;2632;1;83;1;0;10;5;2633;1;83;1;0
2001-06-24;10;5;3615;1;83;1;0;10;5;2635;1;83;1;0;10;5;2635;1;83;1;0
2001-07-01;10;5;1426;1;83;1;0;10;5;1125;1;83;1;0;10;5;1099;1;83;1;0
2001-07-08;10;5;1420;1;83;1;0;10;5;1104;1;83;1;0;10;5;1080;1;83;1;0
2001-07-15;10;5;1420;1;83;1;0;10;5;1091;1;83;1;0;10;5;1072;1;83;1;0
2001-07-22;10;5;1423;1;83;1;0;10;5;1084;1;83;1;0;10;5;1069;1;83;1;0
2001-07-29;10;5;1423;1;83;1;0;10;5;1078;1;83;1;0;10;5;1064;1;83;1;0
2001-08-05;10;5;1732;1;83;1;0;10;5;1067;1;83;1;0;10;5;1054;1;83;1;0
2001-08-12;10;5;1732;1;83;1;0;10;5;1061;1;83;1;0;10;5;1050;1;83;1;0
2001-08-19;10;5;1729;1;83;1;0;10;5;1055;1;83;1;0;10;5;1046;1;83;1;0
2001-08-26;10;5;1729;1;83;1;0;10;5;1051;1;83;1;0;10;5;1040;1;83;1;0
2001-09-02;10;5;1729;1;83;1;0;10;5;1049;1;83;1;0;10;5;1042;1;83;1;0
2001-09-09;10;5;1732;1;83;1;0;10;5;1042;1;83;1;0;10;5;1034;1;83;1;0
2001-09-16;10;5;1734;1;83;1;0;10;5;1035;1;83;1;0;10;5;1032;1;83;1;0
2001-09-23;10;5;1733;1;83;1;0;10;5;1027;1;83;1;0;10;5;1024;1;83;1;0
2001-09-30;10;5;1734;1;83;1;0;10;5;1014;1;83;1;0;10;5;1020;1;83;1;0
2001-10-07;10;5;2205;1;83;1;0;10;5;1008;1;83;1;0;10;5;1013;1;83;1;0
2001-10-14;10;5;2203;1;83;1;0;10;5;1007;1;83;1;0;10;5;1007;1;83;1;0
2001-10-21;10;5;2197;1;83;1;0;10;5;1007;1;83;1;0;10;5;1005;1;83;1;0
2001-10-28;10;5;2184;1;83;1;0;10;5;1002;1;83;1;0;10;5;1004;1;83;1;0
2001-11-04;10;5;2166;1;83;1;0;10;5;1002;1;83;1;0;10;5;999;1;83;1;0
2001-11-11;10;5;2149;1;83;1;0;10;5;1000;1;83;1;0;10;5;998;1;83;1;0
2001-11-18;10;5;2139;1;83;1;0;10;5;997;1;83;1;0;10;5;991;1;83;1;0
2001-11-25;10;5;2119;1;83;1;0;10;5;998;1;83;1;0;10;5;987;1;83;1;0
2001-12-02;10;5;2102;1;83;1;0;10;5;998;1;83;1;0;10;5;986;1;83;1;0
2001-12-09;10;5;2751;1;83;1;0;10;5;999;1;83;1;0;10;5;988;1;83;1;0
2001-12-16;10;5;2679;1;83;1;0;10;5;999;1;83;1;0;10;5;990;1;83;1;0
2001-12-23;10;5;2593;1;83;1;0;10;5;1000;1;83;1;0;10;5;991;1;83;1;0
2001-12-30;10;5;2494;1;83;1;0;10;5;1000;1;83;1;0;10;5;991;1;83;1;0
2002-01-06;10;5;2429;1;83;1;0;10;5;1000;1;83;1;0;10;5;991;1;83;1;0
2002-01-13;10;5;2411;1;83;1;0;10;5;1000;1;83;1;0;10;5;994;1;83;1;0
2002-01-20;10;5;2385;1;83;1;0;10;5;1000;1;83;1;0;10;5;994;1;83;1;0
2002-01-27;10;5;2350;1;83;1;0;10;5;1000;1;83;1;0;10;5;995;1;83;1;0
2002-02-03;10;5;2806;1;83;1;0;10;5;1002;1;83;1;0;10;5;995;1;83;1;0
2002-02-10;10;5;2670;1;83;1;0;10;5;1003;1;83;1;0;10;5;996;1;83;1;0
2002-02-17;10;5;2539;1;83;1;0;10;5;1004;1;83;1;0;10;5;997;1;83;1;0
2002-02-24;10;5;2406;1;83;1;0;10;5;1005;1;83;1;0;10;5;999;1;83;1;0
2002-03-03;10;5;2313;1;83;1;0;10;5;1006;1;83;1;0;10;5;1000;1;83;1;0
2002-03-10;10;5;2234;1;83;1;0;10;5;1006;1;83;1;0;10;5;1003;1;83;1;0
2002-03-17;10;5;2161;1;83;1;0;10;5;1006;1;83;1;0;10;5;1004;1;83;1;0
2002-03-24;10;5;2136;1;83;1;0;10;5;1008;1;83;1;0;10;5;1003;1;83;1;0
2002-03-31;10;5;2106;1;83;1;0;10;5;1010;1;83;1;0;10;5;1006;1;83;1;0
2002-04-07;10;5;3211;1;83;1;0;10;5;1011;1;83;1;0;10;5;1009;1;83;1;0
2002-04-14;10;5;3177;1;83;1;0;10;5;1013;1;83;1;0;10;5;1010;1;83;1;0
2002-04-21;10;5;3178;1;83;1;0;10;5;1014;1;83;1;0;10;5;1010;1;83;1;0
2002-04-28;10;5;3176;1;83;1;0;10;5;1014;1;83;1;0;10;5;1010;1;83;1;0
2002-05-05;10;5;3156;1;83;1;0;10;5;1014;1;83;1;0;10;5;1010;1;83;1;0
2002-05-12;10;5;3148;1;83;1;0;10;5;1013;1;83;1;0;10;5;1010;1;83;1;0
2002-05-19;10;5;3141;1;83;1;0;10;5;1013;1;83;1;0;10;5;1011;1;83;1;0
2002-05-26;10;5;3142;1;83;1;0;10;5;1012;1;83;1;0;10;5;1012;1;83;1;0
2002-06-02;10;5;3143;1;83;1;0;10;5;1013;1;83;1;0;10;5;1012;1;83;1;0
2002-06-09;10;5;3145;1;83;1;0;10;5;1014;1;83;1;0;10;5;1014;1;83;1;0
2002-06-16;10;5;3139;1;83;1;0;10;5;1015;1;83;1;0;10;5;1015;1;83;1;0
2002-06-23;10;5;3107;1;83;1;0;10;5;1016;1;83;1;0;10;5;1019;1;83;1;0
2002-06-30;10;5;3070;1;83;1;0;10;5;1016;1;83;1;0;10;5;1019;1;83;1;0
2002-07-07;10;5;3034;1;83;1;0;10;5;1016;1;83;1;0;10;5;1018;1;83;1;0
2002-07-14;10;5;2977;1;83;1;0;10;5;1017;1;83;1;0;10;5;1018;1;83;1;0
2002-07-21;10;5;2927;1;83;1;0;10;5;1018;1;83;1;0;10;5;1019;1;83;1;0
2002-07-28;10;5;2873;1;83;1;0;10;5;1018;1;83;1;0;10;5;1019;1;83;1;0
2002-08-04;10;5;3115;1;83;1;0;10;5;1021;1;83;1;0;10;5;1021;1;83;1;0
2002-08-11;10;5;3069;1;83;1;0;10;5;1024;1;83;1;0;10;5;1020;1;83;1;0
2002-08-18;10;5;3033;1;83;1;0;10;5;1025;1;83;1;0;10;5;1020;1;83;1;0
2002-08-25;10;5;2989;1;83;1;0;10;5;1027;1;83;1;0;10;5;1015;1;83;1;0
2002-09-01;10;5;2934;1;83;1;0;10;5;1027;1;83;1;0;10;5;1015;1;83;1;0
2002-09-08;10;5;2887;1;83;1;0;10;5;1025;1;83;1;0;10;5;1014;1;83;1;0
2002-09-15;10;5;2837;1;83;1;0;10;5;1026;1;83;1;0;10;5;1016;1;83;1;0
2002-09-22;10;5;2761;1;83;1;0;10;5;1022;1;83;1;0;10;5;1017;1;83;1;0
2002-09-29;10;5;2683;1;83;1;0;10;5;1021;1;83;1;0;10;5;1012;1;83;1;0
2002-10-06;10;5;3083;1;83;1;0;10;5;1019;1;83;1;0;10;5;1008;1;83;1;0
2002-10-13;10;5;2955;1;83;1;0;10;5;1015;1;83;1;0;10;5;1007;1;83;1;0
2002-10-20;10;5;2779;1;83;1;0;10;5;1008;1;83;1;0;10;5;1004;1;83;1;0
2002-10-27;10;5;2682;1;83;1;0;10;5;1005;1;83;1;0;10;5;1002;1;83;1;0
2002-11-03;10;5;2547;1;83;1;0;10;5;1007;1;83;1;0;10;5;999;1;83;1;0
2002-11-10;10;5;2408;1;83;1;0;10;5;1006;1;83;1;0;10;5;994;1;83;1;0
2002-11-17;10;5;2312;1;83;1;0;10;5;1007;1;83;1;0;10;5;988;1;83;1;0
2002-11-24;10;5;2233;1;83;1;0;10;5;1006;1;83;1;0;10;5;981;1;83;1;0
2002-12-01;10;5;2196;1;83;1;0;10;5;1007;1;83;1;0;10;5;972;1;83;1;0
2002-12-08;10;5;3306;1;83;1;0;10;5;1008;1;83;1;0;10;5;972;1;83;1;0
2002-12-15;10;5;3308;1;83;1;0;10;5;1008;1;83;1;0;10;5;971;1;83;1;0
2002-12-22;10;5;3286;1;83;1;0;10;5;1008;1;83;1;0;10;5;971;1;83;1;0
2002-12-29;10;5;3246;1;83;1;0;10;5;1009;1;83;1;0;10;5;972;1;83;1;0
2003-01-05;10;5;3235;1;83;1;0;10;5;1010;1;83;1;0;10;5;972;1;83;1;0
2003-01-12;10;5;3235;1;83;1;0;10;5;1010;1;83;1;0;10;5;973;1;83;1;0
2003-01-19;10;5;3235;1;83;1;0;10;5;1010;1;83;1;0;10;5;973;1;83;1;0
2003-01-26;10;5;3235;1;83;1;0;10;5;1012;1;83;1;0;10;5;973;1;83;1;0
2003-02-02;10;5;3235;1;83;1;0;10;5;1012;1;83;1;0;10;5;973;1;83;1;0
2003-02-09;10;5;3236;1;83;1;0;10;5;1012;1;83;1;0;10;5;976;1;83;1;0
2003-02-16;10;5;3235;1;83;1;0;10;5;1013;1;83;1;0;10;5;976;1;83;1;0
2003-02-23;10;5;3222;1;83;1;0;10;5;1014;1;83;1;0;10;5;977;1;83;1;0
2003-03-02;10;5;3194;1;83;1;0;10;5;1015;1;83;1;0;10;5;979;1;83;1;0
2003-03-09;10;5;3155;1;83;1;0;10;5;1016;1;83;1;0;10;5;980;1;83;1;0
2003-03-16;10;5;3122;1;83;1;0;10;5;1017;1;83;1;0;10;5;982;1;83;1;0
2003-03-23;10;5;3059;1;83;1;0;10;5;1018;1;83;1;0;10;5;982;1;83;1;0
2003-03-30;10;5;3023;1;83;1;0;10;5;1020;1;83;1;0;10;5;983;1;83;1;0
2003-04-06;10;5;3109;1;83;1;0;10;5;1020;1;83;1;0;10;5;983;1;83;1;0
2003-04-13;10;5;3042;1;83;1;0;10;5;1021;1;83;1;0;10;5;983;1;83;1;0
2003-04-20;10;5;2977;1;83;1;0;10;5;1025;1;83;1;0;10;5;985;1;83;1;0
2003-04-27;10;5;2914;1;83;1;0;10;5;1024;1;83;1;0;10;5;987;1;83;1;0
2003-05-04;10;5;2839;1;83;1;0;10;5;1025;1;83;1;0;10;5;987;1;83;1;0
2003-05-11;10;5;2782;1;83;1;0;10;5;1025;1;83;1;0;10;5;987;1;83;1;0
2003-05-18;10;5;2728;1;83;1;0;10;5;1028;1;83;1;0;10;5;986;1;83;1;0
2003-05-25;10;5;2667;1;83;1;0;10;5;1025;1;83;1;0;10;5;987;1;83;1;0
2003-06-01;10;5;2625;1;83;1;0;10;5;1026;1;83;1;0;10;5;987;1;83;1;0
